,Customer_ID,Invoice,Amount,recency,Cluster
220,12566.0,20,346.7,73,1
222,12568.0,5,70.0,586,0
223,12569.0,191,4064.9900000000002,0,2
224,12570.0,1,77.52,682,0
225,12571.0,34,519.61,40,1
226,12572.0,62,1004.72,48,1
227,12573.0,119,717.41,228,1
228,12574.0,11,218.45,316,0
229,12575.0,38,622.8199999999999,488,0
230,12576.0,147,2083.87,130,2
231,12577.0,303,1591.35,243,2
232,12578.0,181,4572.45,22,2
233,12579.0,31,410.72,74,1
234,12580.0,58,1052.9,159,1
235,12581.0,15,197.71,40,1
236,12582.0,103,1980.4,239,1
238,12584.0,126,1893.95,10,1
239,12585.0,97,1982.81,223,1
240,12586.0,96,2028.67,18,1
241,12587.0,4,144.0,301,0
242,12588.0,48,938.98,40,1
243,12589.0,212,3094.17,29,2
245,12591.0,69,1352.15,318,1
246,12592.0,84,1152.62,66,1
247,12593.0,21,418.09999999999997,109,1
249,12595.0,19,299.02,505,0
250,12596.0,27,618.27,36,1
251,12597.0,214,3683.13,20,2
252,12598.0,211,4414.67,10,2
253,12599.0,133,2296.72,33,2
254,12600.0,140,4955.79,29,2
255,12601.0,35,673.76,39,1
256,12602.0,12,153.12,0,1
257,12603.0,3,739.1999999999999,22,1
258,12604.0,16,254.18,80,1
259,12605.0,82,1217.95,365,0
260,12606.0,1,21.0,683,0
261,12607.0,202,3.552713678800501e-15,0,1
262,12608.0,16,415.79,405,0
263,12609.0,176,3417.86,79,2
264,12610.0,111,2057.99,23,1
265,12611.0,65,1193.32,53,1
266,12612.0,21,643.59,58,1
268,12614.0,20,315.6,160,1
270,12616.0,59,1045.35,86,1
271,12617.0,42,355.53,60,1
272,12618.0,11,177.31,22,1
273,12619.0,105,3354.95,17,2
274,12620.0,92,1339.41,15,1
276,12622.0,11,180.1,233,1
277,12623.0,176,3639.84,129,2
278,12624.0,38,641.13,107,1
281,12627.0,230,4478.53,11,2
282,12628.0,43,769.61,19,1
283,12629.0,45,1558.22,365,0
284,12630.0,64,1270.88,10,1
285,12631.0,186,3452.27,58,2
286,12632.0,38,738.88,521,0
288,12634.0,20,490.0,460,0
289,12635.0,179,2930.41,31,2
290,12636.0,1,141.0,1062,0
292,12638.0,48,921.49,182,1
293,12639.0,64,1312.37,239,1
294,12640.0,53,1174.58,24,1
295,12641.0,10,185.9,116,1
296,12642.0,47,1013.26,26,1
298,12644.0,123,1815.54,305,1
299,12645.0,163,3499.1,110,2
300,12646.0,45,1346.97,50,1
302,12648.0,66,1097.0,125,1
303,12649.0,124,2238.7,35,2
304,12650.0,20,314.44,181,1
305,12651.0,32,365.3,100,1
306,12652.0,54,1011.58,9,1
307,12653.0,86,4160.83,149,2
308,12654.0,38,601.98,11,1
309,12655.0,16,261.35,365,0
311,12657.0,56,1152.06,12,1
312,12658.0,36,686.05,19,1
313,12659.0,5,91.68,60,1
314,12660.0,13,245.1,12,1
315,12661.0,11,162.0,437,0
317,12663.0,11,204.0,464,0
319,12665.0,21,301.45,9,1
320,12666.0,33,1020.98,360,0
321,12667.0,33,620.13,0,1
323,12669.0,102,1607.73,3,1
324,12670.0,117,3750.39,11,2
325,12671.0,45,2622.481,371,0
326,12672.0,25,410.5,330,0
327,12673.0,74,1230.02,242,1
328,12674.0,91,1919.31,12,1
329,12675.0,115,934.8,431,0
330,12676.0,108,2773.09,25,2
331,12677.0,23,389.3,403,0
333,12679.0,56,1058.67,0,1
334,12680.0,53,880.81,31,1
338,12684.0,105,2283.63,25,1
339,12685.0,157,2863.08,29,2
340,12686.0,14,178.28,638,0
341,12687.0,126,2138.91,481,0
342,12688.0,171,4873.8099999999995,114,2
343,12689.0,72,1247.61,26,1
344,12690.0,16,389.01,206,1
345,12691.0,39,1170.4,0,1
346,12692.0,13,110.95,372,0
347,12693.0,83,1640.42,5,1
348,12694.0,84,1839.45,71,1
349,12695.0,59,1407.1200000000001,108,1
350,12696.0,50,801.15,509,0
351,12697.0,43,939.02,22,1
352,12698.0,16,339.75,591,0
353,12699.0,41,638.11,418,0
354,12700.0,270,4867.99,127,2
355,12701.0,147,2446.41,36,2
356,12702.0,12,219.0,20,1
357,12703.0,84,892.18,71,1
358,12704.0,90,2220.84,23,1
360,12706.0,1,-91.89,683,0
361,12707.0,33,603.42,292,0
364,12710.0,79,1130.57,202,1
365,12711.0,60,1339.05,524,0
367,12713.0,38,848.55,89,1
369,12715.0,21,353.86,107,1
370,12716.0,69,1053.49,134,1
371,12717.0,72,1258.91,33,1
372,12718.0,19,238.25,72,1
373,12719.0,42,608.1,30,1
375,12721.0,254,3906.68,80,2
376,12722.0,57,904.33,3,1
377,12723.0,69,725.07,17,1
378,12724.0,129,2317.52,39,2
379,12725.0,130,2694.56,415,2
380,12726.0,179,4014.6,29,2
382,12728.0,61,1070.17,39,1
383,12729.0,26,453.01,114,1
384,12730.0,47,829.25,551,0
386,12732.0,12,236.26000000000002,180,1
387,12733.0,162,2326.82,235,2
388,12734.0,19,639.65,353,0
389,12735.0,43,779.5699999999999,192,1
390,12736.0,4,234.0,39,1
391,12737.0,2,3710.5,499,0
392,12738.0,22,310.7,665,0
393,12739.0,89,2726.73,79,2
394,12740.0,27,427.6,153,1
395,12741.0,16,406.07,530,0
396,12742.0,68,1185.02,600,0
397,12743.0,134,546.43,135,1
399,12745.0,23,925.41,428,0
400,12746.0,20,230.85000000000002,528,0
404,12750.0,15,275.88,277,0
405,12751.0,62,268.27,445,0
406,12752.0,53,4366.78,82,2
408,12754.0,65,2949.12,160,2
410,12756.0,4,112.07999999999998,87,1
411,12757.0,377,4227.7,4,2
414,12760.0,21,347.8,427,0
415,12761.0,27,782.95,488,0
416,12762.0,69,1898.52,26,1
417,12763.0,34,814.16,139,1
418,12764.0,45,1693.88,317,1
419,12765.0,68,1404.58,473,0
421,12767.0,43,949.82,376,0
422,12768.0,20,3.552713678800501e-15,451,0
423,12769.0,32,1143.6,239,1
424,12770.0,37,2975.95,211,1
425,12771.0,16,262.5,397,0
426,12772.0,55,892.47,30,1
427,12773.0,12,1.7763568394002505e-15,564,0
428,12774.0,6,98.7,536,0
429,12775.0,82,1651.32,18,1
430,12776.0,4,55.5,434,0
431,12777.0,26,519.45,488,0
432,12778.0,115,1757.68,20,1
434,12780.0,20,337.4,599,0
435,12781.0,30,707.72,22,1
436,12782.0,241,4526.04,150,2
437,12783.0,86,1603.87,54,1
438,12784.0,131,1804.75,10,1
439,12785.0,58,1079.31,151,1
440,12786.0,18,728.5,462,0
441,12787.0,45,859.18,10,1
442,12788.0,26,444.9,503,0
443,12789.0,8,273.35,214,1
444,12790.0,40,563.45,193,1
445,12791.0,32,777.75,364,0
446,12792.0,48,813.88,257,1
447,12793.0,51,1017.33,100,1
448,12794.0,45,860.41,54,1
449,12795.0,14,430.48,19,1
450,12796.0,7,381.0,629,0
451,12797.0,49,725.46,361,0
453,12799.0,15,219.35,530,0
454,12800.0,34,584.25,471,0
455,12801.0,51,1031.87,478,0
456,12802.0,140,2350.42,95,2
457,12803.0,55,1092.81,394,0
458,12804.0,67,327.02,466,0
459,12805.0,58,1434.95,382,0
460,12806.0,67,2878.96,436,0
461,12807.0,18,269.95,383,0
462,12808.0,54,906.1,126,1
463,12809.0,89,1705.34,169,1
464,12810.0,32,534.99,535,0
465,12811.0,56,1033.9,261,1
466,12812.0,15,229.64000000000001,45,1
467,12813.0,45,1687.8,431,0
468,12814.0,2,125.92,102,1
469,12815.0,47,1063.46,148,1
470,12816.0,29,572.2,177,1
471,12817.0,25,690.98,282,1
472,12818.0,16,1517.88,179,1
473,12819.0,19,540.52,519,0
474,12820.0,163,2647.94,45,2
475,12821.0,13,220.8,96,1
476,12822.0,47,918.98,71,1
478,12824.0,25,397.12,30,1
479,12825.0,24,518.63,494,0
480,12826.0,171,2928.69,60,2
481,12827.0,25,430.15000000000003,45,1
482,12828.0,56,1018.71,113,1
483,12829.0,20,345.35,162,1
485,12831.0,22,451.11,263,1
486,12832.0,27,383.03,152,1
487,12833.0,24,417.38,146,1
488,12834.0,18,312.38,310,0
491,12837.0,92,688.41,174,1
492,12838.0,427,3376.03,182,2
494,12840.0,181,4013.87,65,2
496,12842.0,48,1917.99,71,1
498,12844.0,103,648.6,60,1
499,12845.0,27,354.09,268,1
500,12846.0,1,15.58,683,0
501,12847.0,126,1636.8999999999999,23,1
502,12848.0,16,208.0,676,0
503,12849.0,148,3090.56,121,2
504,12850.0,2,330.0,446,0
505,12851.0,80,284.13,245,1
506,12852.0,20,299.75,291,0
507,12853.0,157,3728.5,96,2
508,12854.0,275,2922.37,6,2
509,12855.0,70,650.9399999999999,425,0
510,12856.0,317,2162.68,19,2
511,12857.0,122,3684.25,69,2
512,12858.0,50,151.73,384,0
513,12859.0,21,575.1,519,0
514,12860.0,17,55.47,694,0
515,12861.0,4,68.25,620,0
516,12862.0,133,1008.3199999999999,426,0
517,12863.0,49,2775.5499999999997,53,1
518,12864.0,7,299.57,139,1
519,12865.0,196,3303.31,27,2
520,12866.0,63,1227.35,341,0
522,12868.0,146,2247.06,9,2
523,12869.0,37,337.66999999999996,682,0
524,12870.0,97,1647.15,376,0
525,12871.0,18,744.02,85,1
526,12872.0,438,3678.34,327,2
527,12873.0,35,2027.3,310,1
528,12874.0,49,933.42,386,0
529,12875.0,8,1356.99,144,1
530,12876.0,171,4068.59,58,2
531,12877.0,277,2955.17,25,2
532,12878.0,49,841.64,19,1
533,12879.0,12,552.5699999999999,45,1
534,12880.0,36,640.13,382,0
535,12881.0,7,298.0,98,1
536,12882.0,13,1463.04,10,1
537,12883.0,42,703.47,25,1
538,12884.0,7,309.05,1,1
539,12885.0,72,1158.27,32,1
540,12886.0,86,1351.09,66,1
541,12887.0,13,222.4,384,0
542,12888.0,7,313.77,96,1
543,12889.0,27,365.66,382,0
544,12890.0,139,717.27,24,1
545,12891.0,12,819.5,157,1
546,12892.0,18,263.38,486,0
547,12893.0,34,188.14,90,1
548,12894.0,21,157.35,576,0
549,12895.0,24,347.3,43,1
550,12896.0,1,-29.75,819,0
551,12897.0,14,514.25,38,1
552,12898.0,32,310.96000000000004,660,0
553,12899.0,17,366.4,414,0
554,12900.0,13,340.33,423,0
556,12902.0,10,138.68,265,1
557,12903.0,41,833.53,518,0
558,12904.0,72,509.58,19,1
559,12905.0,55,1011.82,370,0
560,12906.0,63,2919.81,12,2
561,12907.0,29,440.36,455,0
562,12908.0,7,1272.0,0,1
563,12909.0,168,3034.77,40,2
565,12911.0,248,1680.47,552,0
566,12912.0,24,1662.3,15,1
568,12914.0,9,223.98,608,0
569,12915.0,81,1084.85,149,1
570,12916.0,186,4630.22,139,2
571,12917.0,53,4329.5,277,2
573,12919.0,52,1301.44,2,1
574,12920.0,60,488.09000000000003,18,1
576,12922.0,28,405.38,337,0
577,12923.0,62,789.87,183,1
578,12924.0,76,2423.15,1,1
579,12925.0,50,729.3299999999999,75,1
580,12926.0,274,1548.46,412,2
581,12927.0,11,197.31,425,0
582,12928.0,179,4304.89,6,2
583,12929.0,9,105.1,93,1
584,12930.0,27,409.9,79,1
586,12932.0,95,1698.56,434,0
587,12933.0,300,1627.28,25,2
588,12934.0,2,181.65,1003,0
589,12935.0,260,4182.01,27,2
590,12936.0,63,1012.9,17,1
591,12937.0,217,3097.61,16,2
592,12938.0,9,114.14,26,1
594,12940.0,103,876.29,47,1
595,12941.0,27,377.49,725,0
596,12942.0,91,942.65,132,1
597,12943.0,27,489.0,38,1
598,12944.0,30,604.51,243,1
599,12945.0,51,900.11,289,1
600,12946.0,20,324.45,437,0
601,12947.0,120,1711.33,65,1
602,12948.0,127,2306.18,17,2
604,12950.0,23,1843.0,25,1
605,12951.0,201,3164.42,164,2
606,12952.0,80,1382.8400000000001,44,1
607,12953.0,48,828.8100000000001,10,1
608,12954.0,10,162.45,402,0
609,12955.0,183,4734.26,17,2
610,12956.0,42,521.89,191,1
612,12958.0,57,539.49,584,0
613,12959.0,9,133.35,366,0
614,12960.0,70,1322.07,400,0
615,12961.0,40,211.99,380,0
616,12962.0,16,266.39,114,1
617,12963.0,197,3512.79,11,2
618,12964.0,26,132.24,437,0
619,12965.0,109,771.91,31,1
620,12966.0,10,160.18,10,1
621,12967.0,94,3840.77,69,2
622,12968.0,5,135.95,113,1
623,12969.0,5,122.45,603,0
624,12970.0,383,1524.97,301,2
626,12972.0,85,1115.95,414,0
627,12973.0,6,385.55,414,0
628,12974.0,32,408.95,198,1
629,12975.0,118,1993.99,437,0
630,12976.0,154,3156.38,5,2
631,12977.0,59,517.63,186,1
632,12978.0,164,2496.07,386,2
633,12979.0,57,479.53999999999996,789,0
635,12981.0,20,372.21999999999997,60,1
636,12982.0,214,2562.12,36,2
637,12983.0,30,490.08000000000004,599,0
638,12984.0,4,97.5,19,1
639,12985.0,78,1215.6200000000001,29,1
640,12986.0,142,1991.5900000000001,414,0
641,12987.0,68,1298.51,74,1
642,12988.0,92,535.32,293,1
644,12990.0,27,955.5,121,1
645,12991.0,45,764.82,24,1
646,12992.0,6,93.35000000000001,726,0
647,12993.0,82,1191.26,24,1
648,12994.0,73,902.22,32,1
649,12995.0,5,200.72,78,1
650,12996.0,22,355.5,376,0
651,12997.0,121,2065.11,1,1
652,12998.0,61,897.38,493,0
653,12999.0,28,455.88,128,1
654,13000.0,65,965.0,107,1
656,13002.0,23,414.13,319,0
657,13003.0,6,149.05,33,1
659,13005.0,60,935.03,128,1
660,13006.0,4,81.57,57,1
661,13007.0,11,175.25,461,0
662,13008.0,39,543.28,324,0
663,13009.0,4,234.0,587,0
664,13010.0,12,330.12,375,0
665,13011.0,6,101.10000000000001,665,0
666,13012.0,175,2591.1800000000003,10,2
670,13016.0,47,789.89,74,1
671,13017.0,1,204.0,301,0
673,13019.0,57,1212.95,371,0
674,13020.0,42,606.96,460,0
675,13021.0,266,4786.38,26,2
676,13022.0,5,65.3,548,0
677,13023.0,76,1449.03,183,1
678,13024.0,34,535.42,471,0
679,13025.0,13,323.39,850,0
680,13026.0,86,1690.12,25,1
682,13028.0,47,659.68,23,1
683,13029.0,17,1927.3,90,1
684,13030.0,159,1227.22,12,1
685,13031.0,435,3419.27,408,2
686,13032.0,219,2817.59,53,2
687,13033.0,13,220.55,358,0
688,13034.0,55,922.68,55,1
689,13035.0,45,1328.95,58,1
690,13036.0,6,307.1,685,0
691,13037.0,241,3842.55,139,2
692,13038.0,28,908.46,81,1
693,13039.0,55,1010.73,606,0
694,13040.0,43,676.99,182,1
695,13041.0,35,799.13,451,0
696,13042.0,200,1522.79,599,0
697,13043.0,14,471.57,37,1
698,13044.0,421,4824.2,292,2
699,13045.0,45,808.92,335,0
700,13046.0,56,949.25,90,1
702,13048.0,273,4035.16,15,2
703,13049.0,28,1384.14,183,1
705,13051.0,4,155.8,431,0
706,13052.0,253,3168.53,35,2
707,13053.0,17,127.65,622,0
708,13054.0,1,-14.0,683,0
709,13055.0,158,2292.5099999999998,66,2
710,13056.0,19,209.48,552,0
711,13057.0,43,540.74,531,0
712,13058.0,8,271.40000000000003,0,1
713,13059.0,205,2272.62,250,2
714,13060.0,15,307.53,254,1
715,13061.0,10,248.61,73,1
716,13062.0,11,346.98,338,0
717,13063.0,12,188.4,481,0
718,13064.0,94,1680.74,1,1
719,13065.0,77,1255.96,364,0
720,13066.0,49,430.9,25,1
721,13067.0,32,508.51,83,1
722,13068.0,2,344.0,11,1
724,13070.0,35,743.9,193,1
725,13071.0,12,129.22,554,0
726,13072.0,7,177.15,267,1
727,13073.0,27,418.08,412,0
728,13074.0,30,1362.8400000000001,512,0
729,13075.0,22,919.61,305,0
730,13076.0,9,135.4,488,0
731,13077.0,354,3040.17,119,2
733,13079.0,17,419.18,22,1
734,13080.0,20,260.83,180,1
737,13083.0,22,395.43,76,1
738,13084.0,4,116.44999999999999,458,0
739,13085.0,92,1459.46,217,1
740,13086.0,47,439.33000000000004,383,0
741,13087.0,15,313.64,727,0
742,13088.0,20,236.11,418,0
745,13091.0,122,-130.21999999999997,22,1
746,13092.0,115,2007.33,5,1
748,13094.0,38,2214.6600000000003,22,1
749,13095.0,6,74.39999999999999,71,1
750,13096.0,1,419.70000000000005,425,0
753,13099.0,1,207.35999999999999,334,0
754,13100.0,1,-1598.67,625,0
755,13101.0,51,695.4,235,1
757,13103.0,33,709.64,40,1
758,13104.0,30,1709.1,47,1
759,13105.0,1,72.0,437,0
760,13106.0,17,586.46,134,1
762,13108.0,45,1098.52,436,0
763,13109.0,74,1107.58,30,1
764,13110.0,254,2896.17,54,2
765,13111.0,12,321.88000000000005,719,0
766,13112.0,5,-5.44,542,0
768,13114.0,16,234.38,819,0
770,13116.0,31,485.19,118,1
771,13117.0,189,2642.11,22,2
772,13118.0,152,2334.1,20,2
773,13119.0,11,134.9,464,0
774,13120.0,1,30.599999999999998,239,1
775,13121.0,53,254.73,270,1
776,13122.0,55,922.39,184,1
777,13123.0,45,506.75,473,0
778,13124.0,298,4782.45,31,2
779,13125.0,21,158.57,612,0
780,13126.0,260,3902.47,39,2
781,13127.0,15,259.17,78,1
782,13128.0,1,263.5,632,0
783,13129.0,11,233.25,453,0
784,13130.0,2,64.0,184,1
785,13131.0,151,3279.77,24,2
786,13132.0,3,77.3,262,1
787,13133.0,12,200.45000000000002,37,1
788,13134.0,128,2422.28,73,2
789,13135.0,18,3371.45,197,2
792,13138.0,100,1454.49,23,1
794,13140.0,122,1215.68,109,1
796,13142.0,23,307.09,20,1
797,13143.0,24,399.2,553,0
798,13144.0,6,135.35,39,1
799,13145.0,11,1419.77,40,1
800,13146.0,17,228.91,27,1
801,13147.0,4,712.8000000000001,11,1
803,13149.0,86,1676.06,15,1
804,13150.0,9,435.02,367,0
805,13151.0,182,2511.69,204,2
806,13152.0,138,2114.98,418,0
807,13153.0,15,486.22,242,1
808,13154.0,97,997.4300000000001,145,1
809,13155.0,164,1750.18,80,1
810,13156.0,104,1586.54,386,0
812,13158.0,100,1508.18,2,1
813,13159.0,122,1379.75,51,1
814,13160.0,4,91.8,23,1
815,13161.0,34,478.88,314,0
817,13163.0,4,0.0,493,0
818,13164.0,12,297.46000000000004,434,0
819,13165.0,49,1451.16,47,1
820,13166.0,70,881.68,310,0
821,13167.0,81,1125.15,19,1
822,13168.0,182,1866.26,200,2
823,13169.0,18,840.08,153,1
824,13170.0,32,116.00999999999999,27,1
825,13171.0,48,426.81,17,1
826,13172.0,1,69.6,608,0
827,13173.0,252,2620.5,212,2
829,13175.0,51,793.1,553,0
830,13176.0,72,492.84,47,1
831,13177.0,30,512.2,183,1
833,13179.0,34,572.3100000000001,619,0
834,13180.0,4,86.10000000000001,401,0
835,13181.0,19,359.69,382,0
836,13182.0,11,121.18,46,1
838,13184.0,183,1648.79,15,2
839,13185.0,1,71.4,268,0
840,13186.0,84,1539.69,32,1
841,13187.0,65,348.31,191,1
842,13188.0,2,114.60000000000001,12,1
843,13189.0,29,260.68,19,1
844,13190.0,18,518.76,545,0
845,13191.0,59,164.69,659,0
846,13192.0,165,2544.53,206,2
847,13193.0,29,117.88,91,1
848,13194.0,10,472.78,136,1
849,13195.0,52,172.38,415,0
850,13196.0,190,3059.64,12,2
851,13197.0,19,373.01000000000005,462,0
852,13198.0,322,4912.28,11,2
854,13200.0,46,870.09,20,1
855,13201.0,88,1240.6100000000001,490,0
856,13202.0,70,1571.35,379,0
857,13203.0,170,2630.55,10,2
858,13204.0,57,966.6600000000001,850,0
859,13205.0,1,2803.2,444,0
861,13207.0,13,535.86,3,1
862,13208.0,255,1970.5,0,2
864,13210.0,22,353.48,154,1
865,13211.0,209,2706.87,11,2
866,13212.0,143,780.58,10,1
867,13213.0,209,3834.62,57,2
868,13214.0,229,3264.23,367,2
869,13215.0,1,81.6,666,0
870,13216.0,5,333.74,268,1
871,13217.0,8,266.12,93,1
872,13218.0,5,62.63999999999999,246,1
873,13219.0,11,76.23,619,0
874,13220.0,53,1336.0900000000001,79,1
875,13221.0,66,847.41,241,1
876,13222.0,1,88.5,400,0
877,13223.0,13,969.1200000000001,201,1
878,13224.0,109,2150.85,33,1
880,13226.0,28,312.46,37,1
881,13227.0,9,257.7,202,1
882,13228.0,2,358.0,82,1
883,13229.0,10,160.95,226,1
885,13231.0,1,-355.2,399,0
886,13232.0,207,1357.6,4,2
887,13233.0,76,1176.46,75,1
888,13234.0,63,356.95,587,0
889,13235.0,59,101.17000000000007,5,1
890,13236.0,39,727.27,1,1
891,13237.0,24,643.0,388,0
892,13238.0,48,986.73,12,1
893,13239.0,95,1579.84,262,1
894,13240.0,232,1661.17,174,2
895,13241.0,42,115.58,412,0
896,13242.0,35,699.4,66,1
897,13243.0,220,1278.04,204,2
898,13244.0,27,121.74000000000001,123,1
899,13245.0,45,989.22,51,1
900,13246.0,385,3277.68,19,2
901,13247.0,25,501.12,18,1
902,13248.0,26,465.68,155,1
903,13249.0,35,1608.93,123,1
904,13250.0,21,248.54000000000002,453,0
905,13251.0,25,252.68,667,0
906,13252.0,22,341.3,425,0
907,13253.0,75,2951.11,186,2
908,13254.0,4,51.410000000000004,377,0
909,13255.0,33,895.61,10,1
910,13256.0,1,0.0,15,1
911,13257.0,9,117.95,437,0
912,13258.0,46,1035.18,12,1
913,13259.0,324,1433.38,91,2
914,13260.0,8,557.62,91,1
915,13261.0,9,944.1,269,1
